ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
train00034,63,retired,married,tertiary,no,937,no,no,cellular,28,oct,219,2,-1,0,unknown,0
train00035,47,services,married,secondary,no,3216,yes,no,unknown,15,may,451,2,-1,0,unknown,0
train00036,38,blue-collar,married,secondary,no,171,yes,yes,unknown,20,may,172,1,-1,0,unknown,0
train00037,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,0
train00038,48,management,married,tertiary,no,13501,no,no,unknown,19,jun,63,2,-1,0,unknown,0
train00039,42,blue-collar,single,primary,no,156,yes,no,telephone,15,may,7,4,371,5,failure,0
train00040,36,technician,married,tertiary,no,52,no,no,cellular,28,aug,101,10,-1,0,unknown,0
train00041,35,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,389,2,-1,0,unknown,0
train00042,30,unemployed,married,tertiary,no,330,no,no,cellular,14,apr,111,1,-1,0,unknown,1
train00043,45,unemployed,single,primary,no,2249,yes,no,cellular,9,feb,247,5,-1,0,unknown,0
train00044,41,management,married,tertiary,no,0,yes,no,cellular,23,jul,285,3,-1,0,unknown,0
train00045,32,technician,married,tertiary,no,500,no,no,cellular,6,aug,105,6,-1,0,unknown,0
train00046,27,management,married,secondary,no,2071,no,no,cellular,4,jun,449,1,-1,0,unknown,1
train00047,49,blue-collar,married,secondary,no,1838,yes,no,cellular,8,jul,203,1,-1,0,unknown,0
train00048,38,management,married,secondary,no,-323,yes,no,unknown,9,jun,250,1,-1,0,unknown,0
train00049,31,technician,married,secondary,no,585,yes,no,telephone,11,nov,133,1,-1,0,unknown,0
train00050,50,blue-collar,single,tertiary,no,218,no,no,cellular,28,jan,268,1,-1,0,unknown,0
train00051,44,blue-collar,married,secondary,no,878,yes,no,cellular,2,jun,130,1,-1,0,unknown,0
train00052,59,housemaid,married,primary,no,182,no,no,cellular,30,apr,92,1,86,1,failure,0
train00053,32,technician,divorced,secondary,no,0,yes,no,cellular,10,aug,540,2,-1,0,unknown,0
train00054,31,admin.,married,secondary,no,352,no,no,telephone,28,oct,60,1,-1,0,unknown,0
train00055,42,services,single,secondary,no,3403,yes,no,cellular,7,aug,215,1,99,1,failure,1
train00056,50,management,divorced,tertiary,no,3211,yes,no,cellular,6,aug,146,5,-1,0,unknown,0
train00057,36,technician,divorced,secondary,no,3270,no,no,telephone,5,feb,44,1,-1,0,unknown,0
train00058,34,blue-collar,married,secondary,no,-58,yes,yes,unknown,28,may,157,2,-1,0,unknown,0
train00059,36,blue-collar,married,secondary,no,779,yes,no,cellular,14,may,172,1,-1,0,unknown,0
train00060,27,technician,single,tertiary,no,11862,no,no,cellular,25,nov,285,2,97,7,success,1
train00061,37,management,married,tertiary,no,1689,yes,no,unknown,29,may,645,2,-1,0,unknown,0
train00062,34,services,married,tertiary,no,277,yes,no,cellular,17,apr,72,4,-1,0,unknown,0
train00063,32,blue-collar,married,primary,no,274,yes,no,unknown,9,may,21,3,-1,0,unknown,0
train00064,46,management,married,tertiary,no,1489,yes,no,unknown,20,jun,375,5,-1,0,unknown,0
train00065,51,technician,married,secondary,no,337,yes,no,cellular,20,aug,687,4,-1,0,unknown,0
train00066,45,technician,married,tertiary,no,1780,no,no,unknown,9,jun,464,1,-1,0,unknown,0
train00067,30,services,single,secondary,no,695,yes,no,unknown,20,may,203,1,-1,0,unknown,0
train00068,51,services,married,primary,no,636,yes,yes,telephone,18,may,36,6,-1,0,unknown,0
train00069,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,1
train00070,60,blue-collar,married,unknown,no,3563,no,no,cellular,13,aug,159,2,-1,0,unknown,0
train00071,45,blue-collar,married,secondary,no,827,yes,yes,cellular,8,aug,201,2,-1,0,unknown,0
train00072,45,blue-collar,married,primary,no,6753,no,no,cellular,11,aug,48,9,-1,0,unknown,0
train00073,44,technician,married,secondary,no,945,yes,no,cellular,4,aug,190,1,-1,0,unknown,0
train00074,29,student,married,tertiary,no,149,yes,no,unknown,26,may,367,4,-1,0,unknown,0
train00075,50,management,married,secondary,no,2130,no,no,cellular,20,aug,203,4,-1,0,unknown,0
train00076,30,management,single,tertiary,no,5561,yes,no,cellular,27,feb,195,1,100,1,success,1
train00077,39,blue-collar,divorced,tertiary,no,382,no,no,cellular,18,jun,201,3,-1,0,unknown,0
train00078,47,blue-collar,married,primary,no,-100,yes,no,unknown,15,may,374,1,-1,0,unknown,0
train00079,32,entrepreneur,married,secondary,no,-242,yes,no,cellular,20,apr,1202,3,-1,0,unknown,1
train00080,30,technician,married,secondary,no,1660,yes,no,cellular,30,apr,236,1,-1,0,unknown,0
train00081,38,self-employed,divorced,tertiary,no,1513,no,no,cellular,7,may,330,1,342,1,failure,0
train00082,49,management,married,tertiary,no,5969,no,no,cellular,30,jul,258,2,-1,0,unknown,0
train00083,39,management,married,tertiary,no,661,yes,no,unknown,3,jun,220,3,-1,0,unknown,0
train00084,55,retired,married,secondary,no,1,yes,no,telephone,7,may,79,2,360,6,other,0
train00085,57,admin.,married,secondary,no,1504,yes,no,cellular,29,jan,52,1,245,2,failure,0
train00086,52,management,married,tertiary,no,2063,yes,no,cellular,17,nov,114,1,-1,0,unknown,0
train00087,33,management,married,tertiary,no,17946,yes,no,unknown,23,may,256,1,-1,0,unknown,0
train00088,42,services,married,secondary,no,1048,yes,no,unknown,15,may,51,1,-1,0,unknown,0
train00089,36,admin.,divorced,tertiary,no,4708,no,no,cellular,3,dec,284,1,171,1,failure,1
train00090,46,admin.,married,unknown,no,2115,yes,no,unknown,20,jun,10,3,-1,0,unknown,0
train00091,43,management,married,tertiary,no,46,no,no,cellular,27,aug,63,8,-1,0,unknown,0
train00092,46,blue-collar,married,secondary,no,-216,yes,no,cellular,28,jul,404,3,-1,0,unknown,0
train00093,28,admin.,married,secondary,no,-201,yes,no,unknown,12,may,286,4,-1,0,unknown,0
train00094,42,technician,married,secondary,no,89,yes,no,cellular,5,may,159,1,-1,0,unknown,0
train00095,58,retired,married,secondary,yes,-146,no,yes,cellular,28,aug,192,8,-1,0,unknown,0
train00096,28,admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,0
train00097,49,technician,married,tertiary,no,523,yes,no,cellular,3,apr,203,1,31,2,success,0
train00098,73,retired,married,primary,no,154,no,no,cellular,15,oct,103,1,-1,0,unknown,0
train00099,50,blue-collar,divorced,primary,no,-232,yes,no,unknown,19,jun,168,1,-1,0,unknown,0
train00100,54,blue-collar,divorced,primary,no,2227,yes,no,unknown,2,jun,45,3,-1,0,unknown,0
train00101,46,blue-collar,married,secondary,no,6879,no,no,cellular,15,nov,74,2,118,3,failure,0
train00102,36,admin.,married,secondary,no,0,yes,no,cellular,21,jul,93,7,-1,0,unknown,0
train00103,37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success,1
train00104,35,blue-collar,divorced,primary,no,1077,yes,no,cellular,12,may,25,6,-1,0,unknown,0
train00105,38,housemaid,divorced,tertiary,no,4312,no,no,cellular,21,nov,407,4,182,2,other,0
train00106,40,admin.,married,secondary,no,0,yes,no,unknown,23,may,193,2,-1,0,unknown,0
train00107,58,unemployed,divorced,primary,no,414,no,no,cellular,29,jan,267,1,-1,0,unknown,0
train00108,44,services,married,primary,no,3,yes,no,cellular,7,may,228,1,-1,0,unknown,0
train00109,35,blue-collar,married,secondary,no,3015,yes,no,unknown,9,jun,753,2,-1,0,unknown,0
train00110,44,unemployed,married,primary,no,97,yes,no,unknown,5,jun,105,3,-1,0,unknown,0
train00111,34,blue-collar,married,secondary,no,3990,yes,no,cellular,24,jul,633,7,-1,0,unknown,0
train00112,48,technician,single,tertiary,no,0,no,no,unknown,16,jun,73,4,-1,0,unknown,0
train00113,58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,0
train00114,28,technician,single,tertiary,no,372,yes,yes,cellular,15,may,201,3,294,2,success,0
train00115,49,admin.,single,secondary,no,780,no,no,telephone,3,feb,354,5,-1,0,unknown,0
train00116,36,blue-collar,single,primary,no,90,yes,no,cellular,18,may,50,2,360,1,failure,0
train00117,31,management,single,tertiary,no,358,yes,no,cellular,30,jan,68,3,256,51,failure,0
train00118,53,blue-collar,single,secondary,no,105,yes,no,unknown,26,may,239,3,-1,0,unknown,0
train00119,60,admin.,married,secondary,no,711,no,no,cellular,12,aug,355,4,-1,0,unknown,0
train00120,58,housemaid,married,primary,no,435,yes,no,telephone,28,jul,122,6,-1,0,unknown,0
train00121,28,blue-collar,married,secondary,no,1238,yes,no,unknown,14,may,246,1,-1,0,unknown,0
train00122,30,technician,single,secondary,no,160,no,no,cellular,14,aug,90,2,-1,0,unknown,0
train00123,26,admin.,single,unknown,no,677,no,no,cellular,4,may,399,1,-1,0,unknown,0
train00124,32,blue-collar,married,primary,no,4,yes,no,unknown,26,may,76,5,-1,0,unknown,0
train00125,63,housemaid,married,secondary,no,2,no,no,cellular,4,feb,45,2,93,1,success,0
train00126,40,technician,married,secondary,no,998,no,no,cellular,7,aug,133,7,-1,0,unknown,0
train00127,28,management,married,tertiary,no,328,no,no,unknown,26,may,471,1,-1,0,unknown,0
train00128,56,unemployed,married,primary,no,5496,yes,no,cellular,3,feb,330,3,-1,0,unknown,0
train00129,38,blue-collar,married,primary,no,689,yes,no,cellular,6,may,585,2,296,2,failure,0
train00130,27,services,married,secondary,no,271,yes,no,unknown,30,may,130,2,-1,0,unknown,0
train00131,39,technician,married,secondary,no,1427,yes,no,unknown,28,may,454,1,-1,0,unknown,0
train00132,58,admin.,married,secondary,no,169,no,no,cellular,13,may,336,3,87,5,success,1
train00133,43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,0
train00134,38,services,divorced,secondary,no,446,yes,no,unknown,18,jun,373,4,-1,0,unknown,0
train00135,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,0
train00136,31,technician,single,secondary,no,11,yes,no,cellular,21,nov,16,9,-1,0,unknown,0
train00137,44,management,single,tertiary,no,825,yes,no,unknown,11,jun,427,2,-1,0,unknown,0
train00138,30,technician,single,secondary,no,2153,no,no,telephone,20,nov,29,1,-1,0,unknown,0
train00139,51,self-employed,married,tertiary,no,833,no,no,cellular,31,jul,77,3,-1,0,unknown,0
train00140,34,management,married,tertiary,no,-16,no,no,cellular,8,aug,108,2,-1,0,unknown,0
train00141,38,blue-collar,married,secondary,no,121,yes,yes,cellular,6,feb,168,1,212,2,failure,0
train00142,39,blue-collar,married,primary,no,558,yes,no,unknown,22,jul,23,1,531,3,failure,0
train00143,36,technician,single,secondary,no,265,yes,yes,cellular,2,feb,88,1,273,1,failure,0
train00144,57,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,0
train00145,53,management,married,secondary,no,2522,no,no,unknown,9,jun,478,2,-1,0,unknown,0
train00146,39,technician,married,secondary,no,214,yes,no,unknown,27,may,386,11,-1,0,unknown,0
train00147,37,self-employed,single,tertiary,no,1758,no,no,cellular,8,jun,98,2,-1,0,unknown,0
train00148,26,student,single,tertiary,no,1570,yes,no,unknown,23,may,81,1,-1,0,unknown,0
train00149,35,services,single,secondary,no,7242,no,no,telephone,20,nov,215,3,-1,0,unknown,0
train00150,29,management,married,tertiary,no,16232,no,no,unknown,28,may,39,4,-1,0,unknown,0
train00151,45,housemaid,married,secondary,no,20187,yes,no,cellular,17,nov,707,1,-1,0,unknown,0
train00152,32,services,single,secondary,no,-55,yes,no,cellular,15,apr,601,1,-1,0,unknown,0
train00153,79,retired,divorced,primary,no,79,no,no,cellular,9,oct,1106,2,-1,0,unknown,1
train00154,48,admin.,married,secondary,no,1096,yes,no,unknown,18,jun,213,5,-1,0,unknown,0
train00155,39,management,married,tertiary,no,2320,no,yes,cellular,20,aug,25,2,-1,0,unknown,0
train00156,30,management,single,tertiary,no,201,yes,no,cellular,17,mar,325,2,-1,0,unknown,1
train00157,53,technician,divorced,secondary,no,1301,yes,no,unknown,29,may,90,1,-1,0,unknown,0
train00158,37,management,married,tertiary,no,40,no,no,cellular,27,aug,1033,4,-1,0,unknown,1
train00159,26,management,single,tertiary,no,1438,no,no,cellular,27,apr,321,1,449,1,other,1
train00160,39,services,married,secondary,no,27,no,yes,cellular,7,jul,290,1,-1,0,unknown,0
train00161,42,management,single,tertiary,no,1146,yes,no,unknown,15,may,98,2,-1,0,unknown,0
train00162,27,admin.,married,secondary,no,-401,yes,yes,cellular,3,feb,205,3,214,1,failure,0
train00163,32,admin.,married,secondary,no,2468,yes,yes,cellular,28,jul,131,4,-1,0,unknown,0
train00164,60,management,married,tertiary,no,3301,no,no,unknown,17,jun,2621,3,-1,0,unknown,1
train00165,32,unemployed,married,primary,no,9894,yes,no,unknown,26,may,118,4,-1,0,unknown,0
train00166,59,technician,married,unknown,no,1471,no,no,telephone,31,jul,7,3,-1,0,unknown,0
train00167,30,services,divorced,secondary,no,436,yes,no,cellular,17,jun,1720,1,-1,0,unknown,1
train00168,38,management,married,tertiary,no,1354,yes,no,cellular,8,jun,127,3,130,2,failure,0
train00169,39,admin.,married,secondary,no,973,yes,no,cellular,2,sep,172,4,-1,0,unknown,0
train00170,49,technician,married,secondary,no,905,no,no,cellular,5,jun,1543,1,-1,0,unknown,1
train00171,39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195,10,-1,0,unknown,0
train00172,48,self-employed,married,secondary,no,252,no,no,cellular,7,jul,261,5,-1,0,unknown,0
train00173,36,services,married,secondary,no,0,yes,no,cellular,8,may,346,1,368,1,failure,0
train00174,40,blue-collar,married,primary,no,4,no,no,unknown,20,jun,287,9,-1,0,unknown,0
train00175,56,admin.,married,secondary,no,699,no,no,unknown,7,jun,54,1,-1,0,unknown,0
train00176,33,blue-collar,single,secondary,no,13494,yes,no,unknown,20,jun,27,25,-1,0,unknown,0
train00177,31,management,single,tertiary,no,2907,yes,no,cellular,12,jul,248,1,194,3,failure,1
train00178,44,blue-collar,married,primary,no,279,yes,no,cellular,17,apr,85,1,339,6,other,0
train00179,23,admin.,married,secondary,no,299,yes,no,unknown,19,jun,104,1,-1,0,unknown,0
train00180,47,entrepreneur,married,secondary,no,404,no,no,telephone,31,jul,125,7,-1,0,unknown,0
train00181,40,admin.,married,secondary,no,-253,yes,no,cellular,9,jul,177,1,-1,0,unknown,0
train00182,43,blue-collar,married,primary,no,823,yes,no,telephone,7,may,174,12,-1,0,unknown,0
train00183,31,management,married,tertiary,no,4720,yes,no,cellular,13,aug,460,2,-1,0,unknown,0
train00184,38,blue-collar,divorced,primary,no,0,no,no,unknown,12,jun,49,2,-1,0,unknown,0
train00185,39,admin.,single,secondary,no,1413,yes,no,cellular,17,apr,396,1,-1,0,unknown,0
train00186,37,management,married,tertiary,no,-113,yes,no,unknown,29,may,219,3,-1,0,unknown,0
train00187,35,technician,divorced,secondary,no,473,yes,yes,unknown,26,may,434,4,-1,0,unknown,0
train00188,56,admin.,single,secondary,no,791,yes,no,cellular,18,may,103,2,-1,0,unknown,0
train00189,30,management,single,tertiary,no,464,no,no,cellular,28,jan,80,1,-1,0,unknown,0
train00190,67,management,married,secondary,no,1287,no,no,cellular,2,feb,511,1,-1,0,unknown,0
train00191,41,services,divorced,secondary,no,-170,yes,no,cellular,8,may,125,1,-1,0,unknown,0
train00192,36,technician,single,secondary,no,3254,yes,no,unknown,27,oct,207,1,-1,0,unknown,1
train00193,41,technician,married,secondary,no,2490,yes,no,unknown,21,may,115,2,-1,0,unknown,0
train00194,35,technician,married,secondary,no,141,yes,no,cellular,19,aug,299,2,-1,0,unknown,0
train00195,39,management,married,tertiary,no,0,yes,no,cellular,14,may,11,15,261,38,failure,0
train00196,55,admin.,single,secondary,no,533,no,no,unknown,5,jun,40,2,-1,0,unknown,0
train00197,45,management,married,tertiary,no,0,no,no,cellular,22,aug,112,3,-1,0,unknown,0
train00198,41,technician,divorced,secondary,no,1499,no,yes,cellular,11,jul,59,2,-1,0,unknown,0
train00199,45,blue-collar,married,primary,no,1951,no,no,cellular,12,aug,73,2,-1,0,unknown,0
train00200,43,services,single,secondary,no,518,yes,no,cellular,11,may,295,1,370,1,failure,0
train00201,32,management,married,tertiary,no,972,no,no,cellular,14,aug,297,4,-1,0,unknown,0
train00202,38,management,divorced,tertiary,no,637,yes,no,cellular,8,may,295,2,343,1,other,0
train00203,23,student,single,secondary,no,107,no,no,cellular,13,apr,256,5,181,2,success,1
train00204,32,blue-collar,single,secondary,no,2137,no,no,cellular,13,may,423,1,349,1,failure,0
train00205,39,management,married,tertiary,no,53,yes,no,cellular,29,oct,679,1,-1,0,unknown,0
train00206,78,management,married,unknown,no,1780,yes,no,cellular,25,oct,211,2,185,7,success,1
train00207,52,management,single,tertiary,no,4,no,yes,cellular,28,jul,30,9,-1,0,unknown,0
train00208,31,admin.,divorced,secondary,no,47,yes,no,unknown,19,may,34,9,-1,0,unknown,0
train00209,43,self-employed,divorced,secondary,no,1187,yes,no,cellular,4,feb,80,2,-1,0,unknown,0
train00210,27,self-employed,single,secondary,no,78,yes,no,unknown,9,may,825,1,-1,0,unknown,0
train00211,68,retired,married,secondary,no,1146,no,no,cellular,16,nov,212,1,187,6,success,1
train00212,28,management,single,tertiary,no,145,yes,no,cellular,20,apr,277,1,-1,0,unknown,0
train00213,32,management,single,tertiary,no,2770,no,no,telephone,6,feb,44,9,-1,0,unknown,0
train00214,53,management,married,tertiary,yes,0,no,yes,unknown,5,jun,189,1,-1,0,unknown,0
train00215,58,management,married,tertiary,no,14922,no,no,cellular,5,aug,68,2,-1,0,unknown,0
train00216,32,blue-collar,married,secondary,no,1914,yes,no,cellular,14,may,532,1,358,1,failure,0
train00217,51,blue-collar,divorced,secondary,no,104,no,no,cellular,9,jul,71,1,-1,0,unknown,0
train00218,32,admin.,single,tertiary,no,272,yes,no,cellular,7,oct,73,2,-1,0,unknown,0
train00219,59,retired,married,primary,yes,-1,no,no,cellular,5,aug,229,2,-1,0,unknown,0
train00220,31,unemployed,single,secondary,no,582,yes,no,cellular,5,jun,548,2,-1,0,unknown,1
train00221,36,blue-collar,married,primary,no,398,yes,no,unknown,12,jun,278,1,-1,0,unknown,0
train00222,25,admin.,married,secondary,no,789,yes,no,cellular,23,jul,202,1,-1,0,unknown,0
train00223,41,technician,married,tertiary,no,6961,no,no,cellular,8,aug,235,2,-1,0,unknown,0
train00224,24,blue-collar,single,secondary,no,77,yes,no,unknown,16,may,236,2,-1,0,unknown,0
train00225,31,services,married,secondary,no,272,yes,no,unknown,13,may,133,12,-1,0,unknown,0
train00226,29,management,married,tertiary,no,246,yes,no,cellular,29,jan,61,1,265,1,failure,0
train00227,37,technician,divorced,secondary,no,284,yes,no,cellular,11,may,182,5,-1,0,unknown,0
train00228,30,management,single,tertiary,no,78,yes,no,unknown,15,may,73,2,-1,0,unknown,0
train00229,47,blue-collar,married,secondary,no,33,no,no,telephone,17,nov,27,1,-1,0,unknown,0
train00230,33,management,married,tertiary,no,110,yes,yes,cellular,17,apr,125,4,-1,0,unknown,0
train00231,42,services,married,secondary,no,714,yes,yes,cellular,8,may,211,1,358,5,failure,0
train00232,32,blue-collar,married,primary,no,1261,yes,no,unknown,23,may,132,1,-1,0,unknown,0
train00233,31,admin.,single,tertiary,no,98,no,yes,cellular,18,jul,85,2,-1,0,unknown,0
train00234,33,student,married,secondary,no,1536,no,no,cellular,6,aug,258,2,178,4,success,1
train00235,34,blue-collar,married,secondary,no,1134,yes,no,cellular,17,apr,408,1,329,2,failure,0
train00236,32,blue-collar,single,secondary,no,0,no,no,cellular,23,jul,271,6,-1,0,unknown,0
train00237,39,management,married,tertiary,no,1836,no,no,cellular,6,aug,902,3,-1,0,unknown,1
train00238,45,technician,married,secondary,no,1028,yes,no,cellular,9,jul,113,1,-1,0,unknown,0
train00239,61,retired,married,tertiary,no,2557,yes,no,cellular,10,feb,158,2,92,5,success,1
train00240,31,self-employed,single,tertiary,no,8460,no,no,cellular,20,nov,68,1,-1,0,unknown,0
train00241,64,management,married,tertiary,no,6251,no,no,telephone,5,feb,125,7,-1,0,unknown,0
train00242,52,admin.,married,secondary,no,101,yes,yes,unknown,2,jun,140,4,-1,0,unknown,0
train00243,54,services,married,secondary,no,515,no,yes,unknown,20,jun,825,2,-1,0,unknown,0
train00244,40,technician,married,secondary,no,286,no,no,cellular,30,jul,106,4,-1,0,unknown,0
train00245,41,services,married,secondary,no,1027,yes,no,unknown,2,jun,53,2,-1,0,unknown,0
train00246,41,blue-collar,married,secondary,no,1394,yes,no,cellular,21,nov,519,1,-1,0,unknown,0
train00247,35,management,married,tertiary,no,323,no,no,cellular,11,jan,261,2,-1,0,unknown,1
train00248,47,services,married,secondary,no,543,yes,no,unknown,15,may,141,1,-1,0,unknown,0
train00249,23,student,single,secondary,no,1021,no,no,telephone,19,jun,79,9,-1,0,unknown,0
train00250,49,blue-collar,married,primary,no,1032,yes,no,unknown,2,jun,41,5,-1,0,unknown,0
train00251,41,technician,single,secondary,no,-618,yes,yes,cellular,11,jul,215,1,-1,0,unknown,0
train00252,33,management,divorced,tertiary,no,0,yes,yes,cellular,21,nov,211,7,94,8,failure,0
train00253,31,admin.,single,tertiary,no,676,yes,no,cellular,22,apr,124,2,343,2,other,1
train00254,38,blue-collar,single,secondary,no,13156,yes,no,cellular,17,apr,291,4,331,1,failure,0
train00255,39,blue-collar,single,secondary,no,1961,no,no,unknown,21,may,216,1,-1,0,unknown,0
train00256,32,blue-collar,divorced,primary,no,174,yes,no,telephone,18,jul,11,1,-1,0,unknown,0
train00257,26,management,single,tertiary,no,122,no,yes,cellular,8,jul,160,1,-1,0,unknown,0
train00258,42,admin.,divorced,secondary,no,2133,yes,no,cellular,5,may,89,5,-1,0,unknown,0
train00259,24,management,single,tertiary,no,2845,no,no,cellular,30,apr,779,2,-1,0,unknown,1
train00260,34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,-1,0,unknown,1
train00261,34,management,married,secondary,no,487,yes,no,unknown,8,may,442,2,-1,0,unknown,0
train00262,34,management,single,tertiary,no,-281,no,no,cellular,29,aug,56,6,-1,0,unknown,0
train00263,32,technician,married,secondary,no,235,yes,no,telephone,28,aug,688,6,-1,0,unknown,0
train00264,60,admin.,divorced,secondary,no,4519,no,no,cellular,4,may,136,1,91,1,failure,0
train00265,57,blue-collar,divorced,secondary,no,1103,yes,no,cellular,15,jul,98,4,-1,0,unknown,0
train00266,49,admin.,divorced,secondary,no,-203,yes,no,unknown,27,may,364,2,-1,0,unknown,0
train00267,32,technician,single,secondary,no,5600,yes,no,cellular,21,nov,77,1,-1,0,unknown,0
train00268,39,services,married,secondary,no,304,yes,yes,unknown,9,may,323,1,-1,0,unknown,0
train00269,55,retired,married,secondary,no,2312,no,no,unknown,12,jun,60,1,-1,0,unknown,0
train00270,43,blue-collar,married,secondary,no,1343,yes,yes,cellular,25,jul,211,2,-1,0,unknown,0
train00271,50,services,married,secondary,no,2956,yes,no,unknown,14,may,686,1,-1,0,unknown,0
train00272,57,self-employed,married,secondary,no,65,no,yes,cellular,9,jul,171,1,-1,0,unknown,0
train00273,58,retired,divorced,unknown,no,5920,yes,no,cellular,21,nov,96,1,121,1,failure,0
train00274,35,blue-collar,married,secondary,no,53,yes,no,unknown,2,jun,826,4,-1,0,unknown,0
train00275,41,management,married,tertiary,no,1204,yes,yes,cellular,13,may,310,2,-1,0,unknown,0
train00276,32,entrepreneur,married,tertiary,no,11591,yes,no,cellular,18,nov,43,1,-1,0,unknown,0
train00277,39,management,single,tertiary,no,0,yes,no,cellular,18,feb,224,3,-1,0,unknown,1
train00278,47,management,married,tertiary,no,618,yes,no,cellular,7,may,50,2,359,3,failure,0
train00279,40,admin.,married,tertiary,no,1108,no,no,cellular,26,oct,61,2,76,3,failure,0
train00280,47,technician,divorced,secondary,no,1851,yes,no,unknown,19,may,140,2,-1,0,unknown,0
train00281,51,management,divorced,tertiary,no,0,no,yes,cellular,22,jul,176,4,-1,0,unknown,0
train00282,51,blue-collar,married,primary,no,377,yes,no,telephone,3,feb,143,4,272,1,failure,0
train00283,41,blue-collar,single,secondary,no,363,yes,no,unknown,8,may,183,3,-1,0,unknown,0
train00284,41,admin.,married,secondary,no,4320,yes,no,unknown,5,jun,245,2,-1,0,unknown,0
train00285,38,self-employed,married,secondary,no,736,yes,no,unknown,20,may,775,1,-1,0,unknown,0
train00286,33,management,single,tertiary,no,605,no,no,cellular,7,aug,452,3,-1,0,unknown,0
